generation,mean_p,sd_p,hawk_freq,n,k,early_stop,ess
1,0.52491,0.3034,0.52491,100,40,true,0.66667
2,0.57767,0.27945,0.57767,100,40,true,0.66667
3,0.59532,0.27798,0.59532,100,40,true,0.66667
4,0.57641,0.2806,0.57641,100,40,true,0.66667
5,0.60333,0.26604,0.60333,100,40,true,0.66667
6,0.69724,0.23388,0.69724,100,40,true,0.66667
7,0.68874,0.21623,0.68874,100,34,false,0.66667
8,0.67831,0.22687,0.67831,100,32,false,0.66667
9,0.66231,0.23886,0.66231,101,31,false,0.66667
10,0.65345,0.25441,0.65345,100,38,false,0.66667
11,0.69412,0.24292,0.69412,100,40,true,0.66667
12,0.71631,0.2266,0.71631,100,30,false,0.66667
13,0.72377,0.22474,0.72377,100,22,false,0.66667
14,0.72482,0.22983,0.72482,100,23,false,0.66667
15,0.69495,0.23761,0.69495,100,27,false,0.66667
16,0.69982,0.22984,0.69982,100,28,false,0.66667
17,0.67397,0.23127,0.67397,100,24,false,0.66667
18,0.70703,0.2233,0.70703,100,30,false,0.66667
19,0.70183,0.2227,0.70183,100,24,false,0.66667
20,0.70509,0.22002,0.70509,100,23,false,0.66667
21,0.7003,0.22499,0.7003,101,20,false,0.66667
22,0.71346,0.21906,0.71346,100,16,false,0.66667
23,0.72299,0.22344,0.72299,100,20,false,0.66667
24,0.71416,0.2262,0.71416,100,19,false,0.66667
25,0.70965,0.22857,0.70965,100,24,false,0.66667
26,0.7028,0.23443,0.7028,101,26,false,0.66667
27,0.71615,0.23181,0.71615,100,26,false,0.66667
28,0.70209,0.23767,0.70209,100,22,false,0.66667
29,0.69678,0.25238,0.69678,100,31,false,0.66667
30,0.6762,0.25058,0.6762,100,24,false,0.66667
31,0.65023,0.24903,0.65023,100,31,false,0.66667
32,0.67388,0.22721,0.67388,100,38,false,0.66667
33,0.66418,0.22304,0.66418,100,24,false,0.66667
34,0.68702,0.22951,0.68702,100,36,false,0.66667
35,0.70825,0.22666,0.70825,101,34,false,0.66667
36,0.70581,0.23529,0.70581,100,25,false,0.66667
